order_id,date,region,category,product,quantity,unit_price,discount
ORD-0001,2026-01-03,APAC,Electronics,Laptop Pro,2,1200.00,0.05
ORD-0002,2026-01-04,EMEA,Accessories,USB Hub,15,29.99,0.00
ORD-0003,2026-01-05,AMER,Electronics,Tablet X,5,450.00,0.10
ORD-0004,2026-01-06,APAC,Software,Analytics Suite,1,3500.00,0.15
ORD-0005,2026-01-07,EMEA,Electronics,Laptop Pro,3,1200.00,0.05
ORD-0006,2026-01-08,AMER,Accessories,Wireless Mouse,20,35.00,0.00
ORD-0007,2026-01-09,APAC,Accessories,USB Hub,8,29.99,0.00
ORD-0008,2026-01-10,EMEA,Software,Analytics Suite,2,3500.00,0.20
ORD-0009,2026-01-12,AMER,Electronics,Laptop Pro,1,1200.00,0.00
ORD-0010,2026-01-13,APAC,Electronics,Tablet X,4,450.00,0.08
ORD-0011,2026-01-15,EMEA,Accessories,Wireless Mouse,12,35.00,0.05
ORD-0012,2026-01-16,AMER,Software,Analytics Suite,1,3500.00,0.10
ORD-0013,2026-01-18,APAC,Electronics,Laptop Pro,6,1200.00,0.12
ORD-0014,2026-01-20,EMEA,Electronics,Tablet X,3,450.00,0.00
ORD-0015,2026-01-22,AMER,Accessories,USB Hub,25,29.99,0.00
ORD-0016,2026-01-24,APAC,Software,Analytics Suite,2,3500.00,0.10
ORD-0017,2026-01-26,EMEA,Electronics,Laptop Pro,4,1200.00,0.05
ORD-0018,2026-01-28,AMER,Electronics,Tablet X,7,450.00,0.15
ORD-0019,2026-01-30,APAC,Accessories,Wireless Mouse,10,35.00,0.00
ORD-0020,2026-02-01,EMEA,Accessories,USB Hub,18,29.99,0.00
ORD-0021,2026-02-03,AMER,Electronics,Laptop Pro,2,1200.00,0.05
ORD-0022,2026-02-05,APAC,Electronics,Tablet X,9,450.00,0.10
ORD-0023,2026-02-07,EMEA,Software,Analytics Suite,3,3500.00,0.15
ORD-0024,2026-02-09,AMER,Accessories,Wireless Mouse,14,35.00,0.00
ORD-0025,2026-02-11,APAC,Electronics,Laptop Pro,5,1200.00,0.08
ORD-0026,2026-02-13,EMEA,Accessories,Wireless Mouse,9,35.00,0.05
ORD-0027,2026-02-15,AMER,Software,Analytics Suite,2,3500.00,0.10
ORD-0028,2026-02-17,APAC,Accessories,USB Hub,22,29.99,0.00
ORD-0029,2026-02-19,EMEA,Electronics,Tablet X,6,450.00,0.12
ORD-0030,2026-02-21,AMER,Electronics,Laptop Pro,3,1200.00,0.00
